"APPLIC";"NM_ENTRY_MENU";"DS_ENTRY_MENU";"NI_LIVELLO_ENTRY_MENU";"NI_ORD_ENTRY_MENU";"NM_ENTRY_MENU_PADRE";"DL_LINK_ENTRY_MENU"
"DPI_xxx";"Menu";"Menu principale";1;1;"";""
"DPI_xxx";"Menu.AmministrazioneSistema";"Amministrazione Sistema";2;2;"Menu";""
"DPI_xxx";"Menu.AmministrazioneSistema.GestioneJob";"Gestione job";3;1;"Menu.AmministrazioneSistema";"AmministrazioneSistema.html?operation=loadGestioneJob&amp;cleanhistory=true"
"DPI_xxx";"Menu.AmministrazioneSistema.LivelliLogger";"Configurazione livelli logger";3;2;"Menu.AmministrazioneSistema";"AmministrazioneSistema.html?operation=loadLoggerLevels&amp;cleanhistory=true"
"DPI_xxx";"Menu.Monitoraggio";"Monitoraggio";2;1;"Menu";""
"DPI_xxx";"Menu.Monitoraggio.ConfrontoPacs";"Confronto Pacs con PreIngest";3;3;"Menu.Monitoraggio";"Monitoraggio.html?operation=loadConfrontoPacs&amp;cleanhistory=true"
"DPI_xxx";"Menu.Monitoraggio.RicercaDiario";"Ricerca diario";3;1;"Menu.Monitoraggio";"Monitoraggio.html?operation=loadRicercaDiario&amp;cleanhistory=true"
"DPI_xxx";"Menu.Monitoraggio.RicercaRestituzioneStudi";"Ricerca restituzione studi";3;2;"Menu.Monitoraggio";"Monitoraggio.html?operation=loadRicercaRestituzioniStudi&amp;cleanhistory=true"
